latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
38.84844,-76.78592,296.9,0.45,0.39,2025-05-19,646,N,VIIRS,n,2.0NRT,286.66,0.27,N
39.38831,-76.39544,296.53,0.44,0.38,2025-05-19,646,N,VIIRS,n,2.0NRT,285.26,0.24,N
39.42355,-74.54208,303.42,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,285.79,0.36,N
39.5846,-75.63691,301.58,0.42,0.38,2025-05-19,646,N,VIIRS,n,2.0NRT,288.54,0.89,N
39.58805,-75.63614,299.64,0.42,0.38,2025-05-19,646,N,VIIRS,n,2.0NRT,287.97,1.61,N
39.87574,-86.48754,297.87,0.46,0.64,2025-05-19,646,N,VIIRS,n,2.0NRT,270.72,1.14,N
39.93771,-76.81261,295.35,0.46,0.39,2025-05-19,646,N,VIIRS,n,2.0NRT,283.69,1.01,N
39.93837,-76.81805,301.82,0.46,0.39,2025-05-19,646,N,VIIRS,n,2.0NRT,283.18,0.85,N
39.94198,-76.81731,300.31,0.46,0.39,2025-05-19,646,N,VIIRS,n,2.0NRT,284.49,0.85,N
39.96313,-76.59804,310.52,0.45,0.39,2025-05-19,646,N,VIIRS,n,2.0NRT,284.3,1.24,N
40.06937,-74.76798,305.8,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,285.32,0.39,N
40.13796,-74.80845,309.17,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,285.17,0.55,N
40.15366,-74.77048,307.9,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,285.6,0.79,N
40.23584,-74.1177,296.56,0.39,0.36,2025-05-19,646,N,VIIRS,n,2.0NRT,284.78,0.18,N
40.24585,-74.11522,298.85,0.39,0.36,2025-05-19,646,N,VIIRS,n,2.0NRT,284.36,0.06,N
40.30512,-79.87604,296.96,0.42,0.45,2025-05-19,646,N,VIIRS,n,2.0NRT,285.77,0.96,N
40.30931,-80.60665,306.46,0.46,0.47,2025-05-19,646,N,VIIRS,n,2.0NRT,284.61,1.81,N
40.30969,-80.61115,304.03,0.46,0.47,2025-05-19,646,N,VIIRS,n,2.0NRT,282.83,2.32,N
40.39225,-79.85443,339.67,0.42,0.45,2025-05-19,646,N,VIIRS,n,2.0NRT,285.09,3.0,N
40.39272,-79.85949,315.64,0.42,0.45,2025-05-19,646,N,VIIRS,n,2.0NRT,285.2,4.87,N
40.39644,-79.85359,314.39,0.42,0.45,2025-05-19,646,N,VIIRS,n,2.0NRT,283.85,3.0,N
40.54159,-74.25502,295.73,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,284.52,0.48,N
40.56933,-83.13923,305.0,0.63,0.54,2025-05-19,646,N,VIIRS,n,2.0NRT,282.18,1.71,N
40.63426,-74.21994,297.55,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,286.9,0.99,N
40.63493,-74.22462,298.97,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,286.44,0.76,N
40.63694,-74.21444,301.92,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,285.02,1.01,N
40.63828,-74.2238,300.76,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,287.39,0.68,N
40.65104,-74.11211,300.47,0.4,0.37,2025-05-19,646,N,VIIRS,n,2.0NRT,283.37,0.63,N
